"index","name","partition","prevalence","scientific","family","order","class","phylum","kingdom"
1,"alpine buttons",7,0.000936843805524148,"Leptorhynchos squamatus subsp. alpinus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta","Plantae"
2,"alpine colobanth",7,0.00281053141657244,"Colobanthus affinis","Caryophyllaceae","Caryophyllales","Magnoliopsida","Tracheophyta","Plantae"
3,"alpine cotula",4,0.00620255209174608,"Cotula alpina","Asteraceae","Asterales","Magnoliopsida","Tracheophyta","Plantae"
5,"alpine cudweed",7,0.00520109836859958,"Argyrotegium fordianum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta","Plantae"
6,"alpine fireweed",6,0.000452269423356485,"Senecio extensus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta","Plantae"
7,"alpine grass-lily",7,0.00171216281699241,"Caesia alpina","Hemerocallidaceae","Asparagales","Liliopsida","Tracheophyta","Plantae"
8,"alpine greenhood",7,0.0015829429817477,"Pterostylis alpina","Orchidaceae","Asparagales","Liliopsida","Tracheophyta","Plantae"
9,"alpine groundsel",7,0.00200290744629301,"Senecio pectinatus var. major","Asteraceae","Asterales","Magnoliopsida","Tracheophyta","Plantae"
10,"alpine leek-orchid",7,0.00219673719916007,"Prasophyllum tadgellianum","Orchidaceae","Asparagales","Liliopsida","Tracheophyta","Plantae"
12,"alpine marsh-marigold",6,0.00300436116943951,"Psychrophila introloba","Ranunculaceae","Ranunculales","Magnoliopsida","Tracheophyta","Plantae"
14,"alpine podolepis",7,0.00552414795671136,"Podolepis robusta","Asteraceae","Asterales","Magnoliopsida","Tracheophyta","Plantae"
15,"alpine stackhousia",6,0.00155063802293652,"Stackhousia pulvinaris","Celastraceae","Celastrales","Magnoliopsida","Tracheophyta","Plantae"
16,"alpine sundew",6,0.00226134711678243,"Drosera arcturi","Droseraceae","Caryophyllales","Magnoliopsida","Tracheophyta","Plantae"
18,"alpine trachymene",7,0.00300436116943951,"Trachymene humilis","Apiaceae","Apiales","Magnoliopsida","Tracheophyta","Plantae"
19,"alpine tuft-rush",2,0.000710709093845905,"Oreobolus pumilio subsp. pumilio","Cyperaceae","Poales","Liliopsida","Tracheophyta","Plantae"
21,"alpine woodruff",6,0.0077531901146826,"Asperula pusilla","Rubiaceae","Gentianales","Magnoliopsida","Tracheophyta","Plantae"
22,"alpine yam-daisy",5,0.00323049588111775,"Microseris lanceolata","Asteraceae","Asterales","Magnoliopsida","Tracheophyta","Plantae"
23,"amphibious water-milfoil",6,0.00491035373929898,"Myriophyllum simulans","Haloragaceae","Saxifragales","Magnoliopsida","Tracheophyta","Plantae"
24,"angled lobelia",6,0.0230657405911807,"Lobelia anceps","Campanulaceae","Asterales","Magnoliopsida","Tracheophyta","Plantae"
25,"annual bitter-cress",4,0.00377968018090777,"Cardamine paucijuga","Brassicaceae","Brassicales","Magnoliopsida","Tracheophyta","Plantae"
26,"annual bluebell",7,0.027846874495235,"Wahlenbergia tumidifruct","Campanulaceae","Asterales","Magnoliopsida","Tracheophyta","Plantae"
27,"annual buttercup",6,0.00694556614440317,"Ranunculus sessiliflorus","Ranunculaceae","Ranunculales","Magnoliopsida","Tracheophyta","Plantae"
29,"annual celery",7,0.00148602810531417,"Apium annuum","Apiaceae","Apiales","Magnoliopsida","Tracheophyta","Plantae"
30,"annual cudweed",7,0.0187045711516718,"Euchiton sphaericus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta","Plantae"
32,"annual fireweed",2,0.0293975125181715,"Senecio glomeratus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta","Plantae"
33,"annual new holland daisy",7,0.00597641738006784,"Vittadinia cervicularis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta","Plantae"
34,"annual rice-flower",6,0.00148602810531417,"Pimelea trichostachya","Thymelaeaceae","Malvales","Magnoliopsida","Tracheophyta","Plantae"
37,"ashen billy-buttons",7,0.00290744629300598,"Craspedia gracilis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta","Plantae"
38,"austral adder's-tongue",5,0.00429655952188661,"Ophioglossum lusitanicum","Ophioglossaceae","Ophioglossales","Polypodiopsida","Tracheophyta","Plantae"
39,"austral bear's-ear",5,0.0239379744790825,"Cymbonotus preissianus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta","Plantae"
40,"austral brooklime",6,0.0235826199321596,"Gratiola peruviana","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae"
41,"austral bugle",7,0.0219027620739784,"Ajuga australis","Lamiaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae"
42,"austral crane's-bill",7,0.0370860927152318,"Geranium solanderi var. solanderi","Geraniaceae","Geraniales","Magnoliopsida","Tracheophyta","Plantae"
43,"austral forget-me-not",4,0.00442577935713132,"Myosotis australis","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta","Plantae"
44,"austral ladies' tresses",7,0.00077531901146826,"Spiranthes australis","Orchidaceae","Asparagales","Liliopsida","Tracheophyta","Plantae"
46,"austral mudwort",6,0.00171216281699241,"Limosella australis","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae"
48,"austral stork's-bill",6,0.0086254240025844,"Pelargonium australe","Geraniaceae","Geraniales","Magnoliopsida","Tracheophyta","Plantae"
52,"australian buttercup",7,0.0196414149571959,"Ranunculus lappaceus","Ranunculaceae","Ranunculales","Magnoliopsida","Tracheophyta","Plantae"
53,"australian caraway",6,0.0388951704086577,"Oreomyrrhis eriopoda","Apiaceae","Apiales","Magnoliopsida","Tracheophyta","Plantae"
54,"australian carrot",7,0.0521402035212405,"Daucus glochidiatus","Apiaceae","Apiales","Magnoliopsida","Tracheophyta","Plantae"
55,"australian gipsywort",4,0.00507187853335487,"Lycopus australis","Lamiaceae","Lamiales","Magnoliopsida","Tracheophyta","Plantae"
56,"australian hollyhock",6,0.000839928929090615,"Malva preissiana","Malvaceae","Malvales","Magnoliopsida","Tracheophyta","Plantae"
