CommonName,Long.1,Fire_K,Seed.2,Snow_K,WL_.6,Poll_Abiotic,Disp_Wind,Disp_Invert.ext.,Glycophyte
alpine buttons,0,0,1,0,0,0,1,0,0
alpine colobanth,0,1,0,0,0,1,0,1,1
alpine cotula,0,0,0,0,1,0,0,1,0
alpine crane's-bill,0,0,0,0,0,0,0,0,0
alpine cudweed,0,0,0,0,0,0,1,0,0
alpine fireweed,0,0,0,0,0,0,1,0,0
alpine grass-lily,0,0,1,0,1,0,0,1,1
alpine greenhood,0,0,1,0,0,0,1,0,0
alpine groundsel,0,0,0,0,0,0,1,0,0
alpine leek-orchid,0,0,1,0,0,0,1,0,0
alpine marianth,0,0,0,0,0,0,0,1,1
alpine marsh-marigold,0,0,0,0,1,0,0,0,1
alpine pennywort,0,0,1,0,1,0,0,1,1
alpine podolepis,0,0,1,0,0,0,1,0,0
alpine stackhousia,0,0,0,0,0,0,0,1,1
alpine sundew,0,1,0,0,1,0,0,1,1
alpine sunray,0,1,1,0,0,0,1,0,1
alpine trachymene,0,0,0,0,1,0,0,1,1
alpine tuft-rush,0,1,0,0,1,1,0,0,1
alpine water-milfoil,0,0,0,0,0,1,0,0,0
alpine woodruff,0,0,0,0,0,0,0,1,0
alpine yam-daisy,0,0,1,0,0,0,1,0,1
amphibious water-milfoil,0,0,0,0,0,1,0,0,0
angled lobelia,0,1,0,0,1,0,0,1,0
annual bitter-cress,0,1,0,0,0,0,0,1,0
annual bluebell,1,1,0,0,0,0,0,1,0
annual buttercup,1,1,0,0,0,0,0,0,0
annual buttons,1,1,0,1,0,0,1,0,0
annual celery,1,1,0,0,1,0,0,1,0
annual cudweed,1,1,0,0,0,0,1,0,0
annual everlasting,1,1,1,1,0,0,1,0,0
annual fireweed,0,1,0,0,0,0,1,0,0
annual new holland daisy,0,1,0,1,0,0,1,0,0
annual rice-flower,1,1,0,1,0,0,0,1,0
annual spinach,1,1,0,1,0,0,0,1,0
antelope greenhood,0,0,1,0,0,0,1,0,0
ashen billy-buttons,0,0,1,0,0,0,1,0,1
austral adder's-tongue,0,0,1,0,0,1,1,0,1
austral bear's-ear,0,0,0,0,0,0,0,1,1
austral brooklime,0,0,1,0,1,0,0,0,0
austral bugle,0,0,1,0,0,0,0,1,0
austral crane's-bill,0,0,0,0,0,0,0,0,0
austral forget-me-not,0,1,0,0,0,0,0,0,0
